City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,Cabra,37.4725,-4.4421,59.18,44,0,3.36,ES,2022-01-17 13:45:09
256,Ritchie,-29.038,24.6028,85.21,24,0,9.89,ZA,2022-01-17 13:45:10
257,Iskateley,67.6803,53.1512,2.12,87,100,15.1,RU,2022-01-17 13:45:11
258,Port Dover,42.7834,-80.1997,26.26,92,100,18.81,CA,2022-01-17 13:45:11
259,Bonavista,48.6499,-53.1147,26.11,67,6,12.06,CA,2022-01-17 13:45:12
260,Rawlins,41.7911,-107.2387,35.82,34,0,0.0,US,2022-01-17 13:45:13
261,Hambantota,6.1241,81.1185,82.74,69,20,6.91,LK,2022-01-17 13:45:13
262,Maniitsoq,65.4167,-52.9,9.59,76,77,16.33,GL,2022-01-17 13:45:14
263,Grand-Santi,4.25,-54.3833,84.07,58,19,4.79,GF,2022-01-17 13:45:15
264,Srednekolymsk,67.45,153.6833,-44.59,100,60,4.59,RU,2022-01-17 13:45:15
265,Nushki,29.5542,66.0215,61.25,43,99,5.55,PK,2022-01-17 13:44:37
266,Anchorage,61.2181,-149.9003,19.44,89,40,0.0,US,2022-01-17 13:44:23
267,Portree,57.4129,-6.1942,44.53,92,100,10.13,GB,2022-01-17 13:45:17
268,Pulsano,40.3821,17.3564,60.89,57,20,10.0,IT,2022-01-17 13:45:18
269,Miguel Hidalgo,19.4225,-99.2028,50.59,81,100,1.01,MX,2022-01-17 13:45:19
270,Haines Junction,60.7522,-137.5108,-6.48,100,28,3.49,CA,2022-01-17 13:45:20
271,Tawang,27.5833,91.8667,28.27,64,31,6.02,IN,2022-01-17 13:45:20
272,La Union,-5.4,-80.75,76.01,65,97,4.9,PE,2022-01-17 13:45:21
273,Ust-Karsk,52.7011,118.8077,-26.32,99,10,0.87,RU,2022-01-17 13:45:22
274,Puri,19.8,85.85,66.72,62,1,8.68,IN,2022-01-17 13:45:23
275,Syracuse,37.0881,15.2792,64.44,62,0,6.04,IT,2022-01-17 13:45:24
276,Kirksville,40.1948,-92.5833,24.06,88,0,4.0,US,2022-01-17 13:44:11
277,Chakan,18.75,73.85,75.58,39,23,3.87,IN,2022-01-17 13:45:25
278,Maumere,-8.6199,122.2111,80.1,83,100,6.4,ID,2022-01-17 13:45:25
279,Sambava,-14.2667,50.1667,84.72,76,100,8.72,MG,2022-01-17 13:45:26
280,Wagga Wagga,-35.1167,147.3667,72.84,94,100,8.05,AU,2022-01-17 13:45:27
281,Hay River,60.8156,-115.7999,-11.22,77,100,10.36,CA,2022-01-17 13:45:27
282,Kavieng,-2.5744,150.7967,82.26,76,71,5.79,PG,2022-01-17 13:45:28
283,North Platte,41.1239,-100.7654,19.29,86,0,4.61,US,2022-01-17 13:45:29
284,Sieradz,51.5958,18.7302,37.8,59,26,20.78,PL,2022-01-17 13:45:30
285,Santa Luzia,-19.7697,-43.8514,82.54,63,75,3.44,BR,2022-01-17 13:45:30
286,Hervey Bay,-25.2986,152.8535,78.04,81,100,11.3,AU,2022-01-17 13:44:57
287,Zeya,53.75,127.2667,-9.06,86,98,3.69,RU,2022-01-17 13:45:32
288,Ndele,8.4109,20.6473,94.15,12,91,5.84,CF,2022-01-17 13:45:33
289,Torbay,47.6666,-52.7314,25.57,77,1,5.01,CA,2022-01-17 13:45:19
290,Gwanda,-20.9333,29.0,80.89,47,100,10.42,ZW,2022-01-17 13:45:34
291,Hofn,64.2539,-15.2082,41.02,93,40,4.61,IS,2022-01-17 13:45:34
